Date,Applicant_Name,NGO_Name,City_Town_Village,Project_Name,Requested_Amount_PKR,Legitimate_Estimate_PKR,Fraud_Type,Fraud_Indicator,Population_Census_Record,Invoice_ID,Vendor_Name,Bank_Reference_No,Bank_Name,Is_Fraud
3/19/2024,Khadija Anwar,Sahara Development Foundation,Multan,Maternal and Child Health Outreach,"Rs 1,216,200","Rs 1,216,200",Approved,Compliant with Guidelines,"2,215,381",INV-NF57VH2D,GreenLeaf Construction,BR-SCB-4302499307,Standard Chartered Pakistan,FALSE
1/15/2021,Hassan Qureshi,Sahara Development Foundation,Lahore,Rural School Rehabilitation,"Rs 546,400","Rs 489,824",Expense/Reimbursement Fraud,Invoices lack vendor contact details,"13,004,135",INV-YAECEEUT,Ahmed Builders & Construction,BR-ABL-4314102640,Allied Bank,TRUE
6/13/2022,Khadija Ahmed,Green Villages Pakistan,Quetta,Maternal and Child Health Outreach,"Rs 1,194,400","Rs 1,194,450",Approved,Compliant with Guidelines,"1,565,546",INV-GYMRRQSR,OneMetal Construction,BR-ASK-7109989950,Askari Bank,FALSE
6/28/2024,Hira Shah,Roshan Welfare Trust,Sukkur,Community Health Camps,"Rs 423,800","Rs 423,800",Approved,Compliant with Guidelines,"1,625,467",INV-XI5P2QFS,Metro Office Solutions,BR-NBP-0400160385,National Bank of Pakistan,FALSE
12/13/2021,Ali Butt,Green Villages Pakistan,Rawalpindi,Maternal and Child Health Outreach,"Rs 11,743,200","Rs 11,743,200",Approved,Compliant with Guidelines,"3,357,612",INV-A42W44WU,PakTech Equipments Ltd,BR-UBL-9375262635,United Bank Limited,FALSE
9/18/2024,Fatima Mirza,Green Villages Pakistan,Karachi,Clean Water & Sanitation Project,"Rs 104,000","Rs 104,000",Approved,Compliant with Guidelines,"18,870,000",INV-CERT7AWR,Sunrise Water Plant,BR-NBP-7984404211,National Bank of Pakistan,FALSE
3/27/2023,Mubashir Malik,Naya Umeed NGO,Peshawar,Maternal and Child Health Outreach,"Rs 128,000","Rs 128,000",Approved,Compliant with Guidelines,"1,905,975",INV-G3TY36MA,SafeHands Pharmaceuticals Ltd,BR-FBL-2116453931,Faysal Bank,FALSE
8/1/2024,Mehwish Saleem,Green Villages Pakistan,Peshawar,Maternal and Child Health Outreach,"Rs 89,600","Rs 89,300",Approved,Compliant with Guidelines,"1,905,975",INV-764HSRTS,Fine Construction,BR-HBL-1007933570,Habib Bank Limited,FALSE
10/29/2021,Nadia Farooq,Roshan Welfare Trust,Quetta,Maternal and Child Health Outreach,"Rs 1,191,700","Rs 1,191,650",Approved,Compliant with Guidelines,"1,565,546",INV-72DD9EQS,United Medical & Relief Vendors,BR-NBP-2277247047,National Bank of Pakistan,FALSE
1/2/2022,Zara Anwar,Sahara Development Foundation,Lahore,Community Health Camps,"Rs 1,750,700","Rs 1,750,700",Approved,Compliant with Guidelines,"13,004,135",INV-LLJ0VGWG,BlueSky Logistics Company,BR-ABL-1705524929,Allied Bank,FALSE
10/10/2023,Khadija Shah,Sahara Development Foundation,Quetta,Girls EDUCATION Drive,"Rs 149,800","Rs 149,800",Approved,Compliant with Guidelines,"1,565,546",INV-WMF1GZVG,BlueSky Logistics Company,BR-HBL-6170920837,Habib Bank Limited,FALSE
11/15/2023,Nadia Butt,Roshan Welfare Trust,Quetta,Vocational Training for Youth,"Rs 240,700","Rs 240,700",Approved,Compliant with Guidelines,"1,565,546",INV-RAJIAA67,OneMetal Construction,BR-NBP-1882298706,National Bank of Pakistan,FALSE
3/13/2023,Ali Ahmed,Sahara Development Foundation,Peshawar,Livelihoods: Small Business Grants,"Rs 1,704,800","Rs 1,704,800",Approved,Compliant with Guidelines,"1,905,975",INV-HS14ECI9,BlueSky Logistics Company,BR-FBL-3546330926,Faysal Bank,FALSE
1/19/2022,Hassan Sheikh,Green Villages Pakistan,Quetta,Livelihoods: Small Business Grants,"Rs 393,800","Rs 300,552",Procurement & Vendor Fraud,Project timeline unrealistic,"1,565,546",INV-OB3W1K2U,Al-Faisal Supplies Ltd,BR-NBP-2700338037,National Bank of Pakistan,TRUE
6/23/2024,Bilal Mirza,KARWAN HAMARA NGO,Rawalpindi,Disaster Relief Rapid Response,"Rs 2,478,100","Rs 2,478,100",Approved,Compliant with Guidelines,"3,357,612",INV-Y978TNMS,Metro Office Solutions,BR-MEBL-2642824572,Meezan Bank,FALSE
10/5/2022,Mubashir Saleem,Green Villages Pakistan,Lahore,Covid-19 Awareness & Vaccination Support,"Rs 995,200","Rs 995,200",Approved,Compliant with Guidelines,"13,004,135",INV-Y40QCULV,SafeHands Pharmaceuticals Ltd,BR-ABL-0376988932,Allied Bank,FALSE
8/28/2022,Fahad Abbasi,Sehat & Taleem Initiative,Karachi,Clean Water & Sanitation Project,"Rs 127,000","Rs 127,000",Approved,Compliant with Guidelines,"18,870,000",INV-AZNI37ZC,PakTech Equipments Ltd,BR-ALF-4689802105,Bank Alfalah,FALSE
4/26/2021,Zara Hussain,Naya Umeed NGO,Quetta,Dengue Awareness Program,"Rs 2,147,900","Rs 2,147,900",Approved,Compliant with Guidelines,"1,565,546",INV-L77VLQU0,SafeHands Pharmaceuticals Ltd,BR-ALF-4674584798,Bank Alfalah,FALSE
6/4/2024,Yasir Farooq,Sahara Development Foundation,Sialkot,Rural School Rehabilitation,"Rs 135,200","Rs 135,200",Approved,Compliant with Guidelines,"835,337",INV-W3PAJVF9,United Medical & Relief Vendors,BR-SCB-7805587069,Standard Chartered Pakistan,FALSE
7/30/2024,Zara Hussain,Sehat & Taleem Initiative,Sukkur,Girls EDUCATION Drive,"Rs 1,348,700","Rs 1,348,700",Approved,Compliant with Guidelines,"1,625,467",INV-0HXEF73G,United Medical & Relief Vendors,BR-MEBL-4065805608,Meezan Bank,FALSE
3/7/2024,Rabia Butt,Sahara Development Foundation,Abbottabad,Tree-Plantation & Greenery Initiative,"Rs 1,294,300","Rs 1,294,300",Approved,Compliant with Guidelines,"234,395",INV-92BEEVG4,BlueSky Logistics Company,BR-UBL-4410986544,United Bank Limited,FALSE
2/9/2023,Rabia Ahmed,Roshan Welfare Trust,Peshawar,Maternal and Child Health Outreach,"Rs 113,300","Rs 113,273",Approved,Compliant with Guidelines,"1,905,975",INV-738YHD6W,Al-Faisal Supplies Ltd,BR-ASK-7064658154,Askari Bank,FALSE
4/6/2023,Fahad Malik,Naya Umeed NGO,Multan,Vocational Training for Youth,"Rs 676,800","Rs 676,780",Approved,Compliant with Guidelines,"2,215,381",INV-YPFV0D0I,GreenLeaf Construction,BR-NBP-9304235376,National Bank of Pakistan,FALSE
6/3/2022,Khadija Khan,Sahara Development Foundation,Sukkur,Clean Water & Sanitation Project,"Rs 81,400","Rs 81,320",Approved,Compliant with Guidelines,"1,625,467",INV-QDNBLWD8,GoodMaterial Construction,BR-NBP-8138893298,National Bank of Pakistan,FALSE
7/4/2021,Mubashir Shah,Naya Umeed NGO,Lahore,Covid-19 Awareness & Vaccination Support,"Rs 2,081,400","Rs 2,081,400",Approved,Compliant with Guidelines,"13,004,135",INV-AMNJ8PL3,Ahmed Builders & Construction,BR-ASK-7776303478,Askari Bank,FALSE
12/18/2022,Mehwish Anwar,Roshan Welfare Trust,Sukkur,Vocational Training for Youth,"Rs 555,600","Rs 555,555",Approved,Compliant with Guidelines,"1,625,467",INV-2Y8T1502,Shabir & Son's Construction,BR-FBL-4431117249,Faysal Bank,FALSE
5/25/2022,Mubashir Hussain,Sehat & Taleem Initiative,Sukkur,Boys High School Reconstraction,"Rs 216,900","Rs 216,900",Approved,Compliant with Guidelines,"1,625,467",INV-HDKXZO0Y,Sunrise Stationers & Books,BR-ASK-4286663522,Askari Bank,FALSE
2/25/2024,Nadia Javed,Roshan Welfare Trust,Multan,Girls EDUCATION Drive,"Rs 59,000","Rs 59,000",Approved,Compliant with Guidelines,"2,215,381",INV-00G9E07P,GreenLeaf Construction,BR-SCB-6571100268,Standard Chartered Pakistan,FALSE
11/30/2023,Hira Mirza,Sehat & Taleem Initiative,Quetta,Tree-Plantation & Greenery Initiative,"Rs 369,700","Rs 369,644",Approved,Compliant with Guidelines,"1,565,546",INV-5P1KSTH1,BlueSky Logistics Company,BR-SCB-6134559522,Standard Chartered Pakistan,FALSE
8/29/2022,Nabeel Khan,Green Villages Pakistan,Karachi,Rural School Rehabilitation,"Rs 1,278,700","Rs1,278,650",Approved,Compliant with Guidelines,"18,870,000",INV-OQSRLDHH,Bright Future Printers,BR-HBL-2074233177,Habib Bank Limited,FALSE
10/29/2022,Fahad Abbasi,Sehat & Taleem Initiative,Abbottabad,Maternal and Child Health Outreach,"Rs 805,000","Rs 805,000",Approved,Compliant with Guidelines,"234,395",INV-M4EO0XJJ,EduServe Publishers,BR-ASK-3281605254,Askari Bank,FALSE
12/1/2021,Nabeel Sheikh,Roshan Welfare Trust,Karachi,Covid-19 Awareness & Vaccination Support,"Rs 58,100","Rs 58,100",Approved,Compliant with Guidelines,"18,870,000",INV-U09IE8JJ,PakTech Equipments Ltd,BR-ASK-5154852345,Askari Bank,FALSE
1/14/2022,Fahad Shah,Sehat & Taleem Initiative,Multan,Tree-Plantation & Greenery Initiative,"Rs 4,050,400","Rs 4,050,400",Approved,Compliant with Guidelines,"2,215,381",INV-FMFP5MD3,Manzoor NuseryWala,BR-UBL-8124449026,United Bank Limited,FALSE
3/26/2024,Sana Shah,Naya Umeed NGO,Quetta,Clean Water & Sanitation Project,"Rs 248,400","Rs 248,400",Approved,Compliant with Guidelines,"1,565,546",INV-5Z9RVKMC,BlueSky Logistics Company,BR-ASK-3763964480,Askari Bank,FALSE
6/10/2022,Khadija Saleem,Green Villages Pakistan,Sialkot,Clean Water & Sanitation Project,"Rs 125,300","Rs 125,300",Approved,Compliant with Guidelines,"835,337",INV-OWAPCQ7V,PakTech Equipments Ltd,BR-ABL-2962622906,Allied Bank,FALSE
11/7/2024,Sana Anwar,Sehat & Taleem Initiative,Multan,Clean Water & Sanitation Project,"Rs 148,600","Rs 148,500",Approved,Compliant with Guidelines,"2,215,381",INV-XTR698I9,GreenLeaf Construction,BR-ASK-3819165715,Askari Bank,FALSE
4/26/2023,Yasir Khan,Sehat & Taleem Initiative,Abbottabad,Vocational Training for Youth,"Rs 9,210,400","Rs 9,210,400",Approved,Compliant with Guidelines,"234,395",INV-VJUZ5PFB,Al-Faisal Supplies Ltd,BR-ALF-4348211587,Bank Alfalah,FALSE
